"id","classe","cor","parente","ref","versao","valor","valor_l1","valor_l2","valor_l3","ativo"
"26","Agricultura","#E974ED","14","3.2.","3","18","14","18","18","t"
"9","Floresta","#129912","0","1.","3","1","1","1","1","t"
"15","Floresta Degradada","#29EEE4","2","1.1.5.","3","7","1","2","7","f"
"14","Floresta Alagada","#76A5AF","2","1.1.4.","3","6","1","2","6","f"
"2","Apicum","#968c46","10","2.3.","3","32","10","32","32","t"
"22","Agropecuária","#FFFFB2","0","3.","3","14","14","14","14","t"
"21","Outra Formação não Florestal","#BDB76B","10","2.4.","3","13","10","13","13","t"
"16","Floresta Secundária","#77A605","2","1.1.4.","3","8","1","2","8","f"
"29","Mosaico de Cultivo","#dd497f","18","3.2.3.","3","28","14","18","28","f"
"27","Cultivo Anual e Perene","#D5A6BD","18","3.2.1.","3","19","14","18","19","t"
"28","Cultivo Semi-Perene","#C27BA0","18","3.2.2.","3","20","14","18","20","t"
"10","Floresta Natural","#1F4423","1","1.1.","3","2","1","2","2","t"
"30","Mosaico de Agricultura ou Pastagem","#FFEFC3","14","3.3.","3","21","14","21","21","t"
"11","Formação Florestal","#006400","2","1.1.1.","3","3","1","2","3","t"
"18","Formação Natural não Florestal","#BBFCAC","0","2.","3","10","10","10","10","t"
"19","Área Úmida Natural não Florestal","#45C2A5","10","2.1.","3","11","10","11","11","t"
"20","Formação Campestre (Campo)","#B8AF4F","10","2.2.","3","12","10","12","12","t"
"17","Floresta Plantada","#935132","1","1.2.","3","9","1","9","9","t"
"31","Área não Vegetada","#EA9999","0","4.","3","22","22","22","22","t"
"24","Pastagem Natural","#CF7F3B","15","3.1.1.","3","16","14","15","16","f"
"25","Pastagem Plantada","#A0D0DE","15","3.1.2.","3","17","14","15","17","f"
"3","Rio, Lago e Oceano","#0000FF","26","5.1.","3","33","26","33","33","t"
"36","Não observado","#D5D5E5","0","6.","3","27","27","27","27","t"
"4","Aquicultura","#29EEE4","26","5.2.","3","31","26","31","31","t"
"35","Corpo D'água","#0000FF","0","5.","3","26","26","26","26","t"
"6","Mineração","#8A2BE2","22","4.4.","3","30","22","30","30","t"
"5","Afloramento Rochoso","#FF8C00","22","4.5.","3","29","22","29","29","t"
"34","Infraestrutura Urbana","#af2a2a","22","4.2.","3","24","22","24","24","t"
"32","Praia e Duna","#DD7E6B","22","4.1.","3","23","22","23","23","t"
"33","Outra área não Vegetada","#FF99FF","22","4.3.","3","25","22","25","25","t"
"23","Pastagem","#FFD966","14","3.1.","3","15","14","15","15","t"
"13","Mangue","#687537","2","1.1.3.","3","5","1","2","5","t"
"12","Formação Savânica","#32CD32","2","1.1.2.","3","4","1","2","4","t"
